date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uClose,uVolume,fClose,fVolume,change,changePercent,uOpen,uHigh,uLow,fOpen,fHigh,fLow
2014-10-22,4.06,4.11,3.93,4.03,CZR,44358,-0.08352144469525963,-0.08352144469525963,4.06,44358,4.06,44358,0.04999999999999982,0.0125,4.03,4.11,3.93,4.03,4.11,3.93
2014-10-23,4.04,4.14,4.04,4.09,CZR,41199,-0.08803611738148978,-0.08803611738148978,4.04,41199,4.04,41199,-0.019999999999999574,-0.0049,4.09,4.14,4.04,4.09,4.14,4.04
2014-10-24,4.11,4.11,4.06,4.06,CZR,1595,-0.07223476297968384,-0.07223476297968384,4.11,1595,4.11,1595,0.07000000000000028,0.0173,4.06,4.11,4.06,4.06,4.11,4.06
2014-10-27,4.15,4.21,4.04,4.04,CZR,6735,-0.06320541760722334,-0.06320541760722334,4.15,6735,4.15,6735,0.040000000000000036,0.0097,4.04,4.21,4.04,4.04,4.21,4.04
2014-10-28,4.15,4.15,3.97,3.97,CZR,18153,-0.06320541760722334,-0.06320541760722334,4.15,18153,4.15,18153,0.0,0.0,3.97,4.15,3.97,3.97,4.15,3.97
2014-10-29,4.04,4.12,4.04,4.07,CZR,2510,-0.08803611738148978,-0.08803611738148978,4.04,2510,4.04,2510,-0.11000000000000032,-0.0265,4.07,4.12,4.04,4.07,4.12,4.04
2014-10-30,4.07,4.15,4.03,4.03,CZR,6021,-0.08126410835214434,-0.08126410835214434,4.07,6021,4.07,6021,0.03000000000000025,0.0074,4.03,4.15,4.03,4.03,4.15,4.03
2014-10-31,4.12,4.15,4.06,4.15,CZR,2515,-0.06997742663656877,-0.06997742663656877,4.12,2515,4.12,2515,0.04999999999999982,0.0123,4.15,4.15,4.06,4.15,4.15,4.06
2014-11-03,4.24,4.25,4.11,4.18,CZR,34832,-0.04288939051918725,-0.04288939051918725,4.24,34832,4.24,34832,0.1200000000000001,0.0291,4.18,4.25,4.11,4.18,4.25,4.11
2014-11-04,4.2,4.23,4.2,4.2,CZR,39237,-0.051918735891647756,-0.051918735891647756,4.2,39237,4.2,39237,-0.040000000000000036,-0.0094,4.2,4.23,4.2,4.2,4.23,4.2
2014-11-05,4.27,4.3,4.2,4.21,CZR,27163,-0.03611738148984202,-0.03611738148984202,4.27,27163,4.27,27163,0.0699999999999994,0.0167,4.21,4.3,4.2,4.21,4.3,4.2
2014-11-06,4.24,4.29,4.21,4.25,CZR,34136,-0.04288939051918725,-0.04288939051918725,4.24,34136,4.24,34136,-0.02999999999999936,-0.007,4.25,4.29,4.21,4.25,4.29,4.21
2014-11-07,4.24,4.29,4.2,4.21,CZR,79440,-0.04288939051918725,-0.04288939051918725,4.24,79440,4.24,79440,0.0,0.0,4.21,4.29,4.2,4.21,4.29,4.2
2014-11-10,4.2,4.22,4.2,4.22,CZR,2771,-0.051918735891647756,-0.051918735891647756,4.2,2771,4.2,2771,-0.040000000000000036,-0.0094,4.22,4.22,4.2,4.22,4.22,4.2
2014-11-11,4.2,4.28,4.2,4.21,CZR,6462,-0.051918735891647756,-0.051918735891647756,4.2,6462,4.2,6462,0.0,0.0,4.21,4.28,4.2,4.21,4.28,4.2
2014-11-12,4.27,4.33,4.22,4.22,CZR,74338,-0.03611738148984202,-0.03611738148984202,4.27,74338,4.27,74338,0.0699999999999994,0.0167,4.22,4.33,4.22,4.22,4.33,4.22
2014-11-13,4.31,4.4,4.25,4.25,CZR,18909,-0.027088036117381517,-0.027088036117381517,4.31,18909,4.31,18909,0.040000000000000036,0.0094,4.25,4.4,4.25,4.25,4.4,4.25
2014-11-14,4.32,4.33,4.11,4.33,CZR,21089,-0.02483069977426624,-0.02483069977426624,4.32,21089,4.32,21089,0.010000000000000675,0.0023,4.33,4.33,4.11,4.33,4.33,4.11
2014-11-17,4.26,4.31,4.21,4.31,CZR,7156,-0.038374717832957095,-0.038374717832957095,4.26,7156,4.26,7156,-0.0600000000000005,-0.0139,4.31,4.31,4.21,4.31,4.31,4.21
2014-11-18,4.25,4.3,4.16,4.27,CZR,21054,-0.04063205417607217,-0.04063205417607217,4.25,21054,4.25,21054,-0.009999999999999787,-0.0023,4.27,4.3,4.16,4.27,4.3,4.16
2014-11-19,4.2,4.25,4.18,4.18,CZR,4904,-0.051918735891647756,-0.051918735891647756,4.2,4904,4.2,4904,-0.04999999999999982,-0.0118,4.18,4.25,4.18,4.18,4.25,4.18
2014-11-20,4.21,4.21,4.15,4.15,CZR,4948,-0.04966139954853268,-0.04966139954853268,4.21,4948,4.21,4948,0.009999999999999787,0.0024,4.15,4.21,4.15,4.15,4.21,4.15
2014-11-21,4.3,4.3,4.17,4.25,CZR,11664,-0.02934537246049659,-0.02934537246049659,4.3,11664,4.3,11664,0.08999999999999986,0.0214,4.25,4.3,4.17,4.25,4.3,4.17
2014-11-24,4.31,4.31,4.2,4.24,CZR,1900,-0.027088036117381517,-0.027088036117381517,4.31,1900,4.31,1900,0.009999999999999787,0.0023,4.24,4.31,4.2,4.24,4.31,4.2
2014-11-25,4.22,4.3,4.06,4.3,CZR,3211,-0.0474040632054176,-0.0474040632054176,4.22,3211,4.22,3211,-0.08999999999999986,-0.0209,4.3,4.3,4.06,4.3,4.3,4.06
2014-11-26,4.14,4.2,4.02,4.05,CZR,9527,-0.06546275395033861,-0.06546275395033861,4.14,9527,4.14,9527,-0.08000000000000007,-0.019,4.05,4.2,4.02,4.05,4.2,4.02
2014-11-27,4.14,4.2,4.02,4.05,CZR,9527,-0.06546275395033861,-0.06546275395033861,4.14,9527,4.14,9527,0.0,0.0,4.05,4.2,4.02,4.05,4.2,4.02
2014-11-28,4.14,4.14,4.14,4.14,CZR,100,-0.06546275395033861,-0.06546275395033861,4.14,100,4.14,100,0.0,0.0,4.14,4.14,4.14,4.14,4.14,4.14
2014-12-01,4.18,4.31,4.0,4.0,CZR,7560,-0.05643340857787811,-0.05643340857787811,4.18,7560,4.18,7560,0.040000000000000036,0.0097,4.0,4.31,4.0,4.0,4.31,4.0
2014-12-02,4.27,4.28,4.04,4.17,CZR,9781,-0.03611738148984202,-0.03611738148984202,4.27,9781,4.27,9781,0.08999999999999986,0.0215,4.17,4.28,4.04,4.17,4.28,4.04
2014-12-03,4.28,4.28,4.0,4.06,CZR,6440,-0.03386004514672675,-0.03386004514672675,4.28,6440,4.28,6440,0.010000000000000675,0.0023,4.06,4.28,4.0,4.06,4.28,4.0
2014-12-04,4.26,4.28,4.08,4.28,CZR,23291,-0.038374717832957095,-0.038374717832957095,4.26,23291,4.26,23291,-0.020000000000000462,-0.0047,4.28,4.28,4.08,4.28,4.28,4.08
2014-12-05,4.24,4.27,4.17,4.27,CZR,8653,-0.04288939051918725,-0.04288939051918725,4.24,8653,4.24,8653,-0.019999999999999574,-0.0047,4.27,4.27,4.17,4.27,4.27,4.17
2014-12-08,4.14,4.2,4.02,4.2,CZR,48802,-0.06546275395033861,-0.06546275395033861,4.14,48802,4.14,48802,-0.10000000000000053,-0.0236,4.2,4.2,4.02,4.2,4.2,4.02
2014-12-09,4.11,4.27,4.07,4.25,CZR,22362,-0.07223476297968384,-0.07223476297968384,4.11,22362,4.11,22362,-0.02999999999999936,-0.0072,4.25,4.27,4.07,4.25,4.27,4.07
2014-12-10,4.05,4.16,4.05,4.1,CZR,16397,-0.0857787810383747,-0.0857787810383747,4.05,16397,4.05,16397,-0.0600000000000005,-0.0146,4.1,4.16,4.05,4.1,4.16,4.05
2014-12-11,4.08,4.09,4.0,4.07,CZR,5944,-0.07900677200902927,-0.07900677200902927,4.08,5944,4.08,5944,0.03000000000000025,0.0074,4.07,4.09,4.0,4.07,4.09,4.0
2014-12-12,4.05,4.09,4.0,4.05,CZR,7513,-0.0857787810383747,-0.0857787810383747,4.05,7513,4.05,7513,-0.03000000000000025,-0.0074,4.05,4.09,4.0,4.05,4.09,4.0
2014-12-15,4.15,4.26,3.98,4.09,CZR,24693,-0.06320541760722334,-0.06320541760722334,4.15,24693,4.15,24693,0.10000000000000053,0.0247,4.09,4.26,3.98,4.09,4.26,3.98
2014-12-16,4.25,4.25,4.06,4.17,CZR,19253,-0.04063205417607217,-0.04063205417607217,4.25,19253,4.25,19253,0.09999999999999964,0.0241,4.17,4.25,4.06,4.17,4.25,4.06
2014-12-17,4.24,4.24,4.01,4.22,CZR,16860,-0.04288939051918725,-0.04288939051918725,4.24,16860,4.24,16860,-0.009999999999999787,-0.0024,4.22,4.24,4.01,4.22,4.24,4.01
2014-12-18,4.3,4.3,4.11,4.25,CZR,17027,-0.02934537246049659,-0.02934537246049659,4.3,17027,4.3,17027,0.05999999999999961,0.0142,4.25,4.3,4.11,4.25,4.3,4.11
2014-12-19,4.24,4.3,4.14,4.3,CZR,145407,-0.04288939051918725,-0.04288939051918725,4.24,145407,4.24,145407,-0.05999999999999961,-0.014,4.3,4.3,4.14,4.3,4.3,4.14
2014-12-22,4.34,4.35,4.19,4.19,CZR,123547,-0.020316027088036086,-0.020316027088036086,4.34,123547,4.34,123547,0.09999999999999964,0.0236,4.19,4.35,4.19,4.19,4.35,4.19
2014-12-23,4.33,4.4,4.21,4.21,CZR,9923,-0.022573363431151162,-0.022573363431151162,4.33,9923,4.33,9923,-0.009999999999999787,-0.0023,4.21,4.4,4.21,4.21,4.4,4.21
2014-12-24,4.38,4.38,4.01,4.32,CZR,21290,-0.011286681715575581,-0.011286681715575581,4.38,21290,4.38,21290,0.04999999999999982,0.0115,4.32,4.38,4.01,4.32,4.38,4.01
2014-12-26,4.21,4.3,4.07,4.3,CZR,9078,-0.04966139954853268,-0.04966139954853268,4.21,9078,4.21,9078,-0.16999999999999993,-0.0388,4.3,4.3,4.07,4.3,4.3,4.07
2014-12-29,4.24,4.31,3.8,4.21,CZR,13406,-0.04288939051918725,-0.04288939051918725,4.24,13406,4.24,13406,0.03000000000000025,0.0071,4.21,4.31,3.8,4.21,4.31,3.8
2014-12-30,4.14,4.31,4.02,4.31,CZR,12194,-0.06546275395033861,-0.06546275395033861,4.14,12194,4.14,12194,-0.10000000000000053,-0.0236,4.31,4.31,4.02,4.31,4.31,4.02
2014-12-31,4.05,4.18,3.92,4.03,CZR,28207,-0.0857787810383747,-0.0857787810383747,4.05,28207,4.05,28207,-0.08999999999999986,-0.0217,4.03,4.18,3.92,4.03,4.18,3.92
2015-01-02,4.04,4.24,3.88,4.24,CZR,2153,-0.08803611738148978,-0.08803611738148978,4.04,2153,4.04,2153,-0.009999999999999787,-0.0025,4.24,4.24,3.88,4.24,4.24,3.88
2015-01-05,4.25,4.28,3.88,3.9,CZR,15646,-0.04063205417607217,-0.04063205417607217,4.25,15646,4.25,15646,0.20999999999999996,0.052,3.9,4.28,3.88,3.9,4.28,3.88
2015-01-06,4.07,4.25,4.0,4.24,CZR,8974,-0.08126410835214434,-0.08126410835214434,4.07,8974,4.07,8974,-0.17999999999999972,-0.0424,4.24,4.25,4.0,4.24,4.25,4.0
2015-01-07,4.29,4.29,4.12,4.24,CZR,22335,-0.03160270880361167,-0.03160270880361167,4.29,22335,4.29,22335,0.21999999999999975,0.0541,4.24,4.29,4.12,4.24,4.29,4.12
2015-01-08,4.2,4.24,4.16,4.23,CZR,4448,-0.051918735891647756,-0.051918735891647756,4.2,4448,4.2,4448,-0.08999999999999986,-0.021,4.23,4.24,4.16,4.23,4.24,4.16
2015-01-09,4.18,4.18,4.18,4.18,CZR,100,-0.05643340857787811,-0.05643340857787811,4.18,100,4.18,100,-0.020000000000000462,-0.0048,4.18,4.18,4.18,4.18,4.18,4.18
2015-01-12,4.2,4.2,4.07,4.07,CZR,5749,-0.051918735891647756,-0.051918735891647756,4.2,5749,4.2,5749,0.020000000000000462,0.0048,4.07,4.2,4.07,4.07,4.2,4.07
2015-01-13,4.2,4.2,4.06,4.2,CZR,5895,-0.051918735891647756,-0.051918735891647756,4.2,5895,4.2,5895,0.0,0.0,4.2,4.2,4.06,4.2,4.2,4.06
2015-01-14,4.1,4.19,4.06,4.17,CZR,5505,-0.07449209932279911,-0.07449209932279911,4.1,5505,4.1,5505,-0.10000000000000053,-0.0238,4.17,4.19,4.06,4.17,4.19,4.06
2015-01-15,4.13,4.14,3.88,4.09,CZR,5250,-0.06772009029345369,-0.06772009029345369,4.13,5250,4.13,5250,0.03000000000000025,0.0073,4.09,4.14,3.88,4.09,4.14,3.88
2015-01-16,4.19,4.19,3.92,4.15,CZR,8163,-0.05417607223476283,-0.05417607223476283,4.19,8163,4.19,8163,0.0600000000000005,0.0145,4.15,4.19,3.92,4.15,4.19,3.92
2015-01-20,4.18,4.19,3.81,3.91,CZR,2450,-0.05643340857787811,-0.05643340857787811,4.18,2450,4.18,2450,-0.010000000000000675,-0.0024,3.91,4.19,3.81,3.91,4.19,3.81
2015-01-21,4.03,4.08,3.92,4.02,CZR,3073,-0.09029345372460486,-0.09029345372460486,4.03,3073,4.03,3073,-0.14999999999999947,-0.0359,4.02,4.08,3.92,4.02,4.08,3.92
2015-01-22,4.01,4.13,4.01,4.1,CZR,1628,-0.0948081264108352,-0.0948081264108352,4.01,1628,4.01,1628,-0.020000000000000462,-0.005,4.1,4.13,4.01,4.1,4.13,4.01
2015-01-23,4.03,4.03,3.93,4.0,CZR,13477,-0.09029345372460486,-0.09029345372460486,4.03,13477,4.03,13477,0.020000000000000462,0.005,4.0,4.03,3.93,4.0,4.03,3.93
2015-01-26,3.98,4.04,3.91,3.98,CZR,4817,-0.10158013544018053,-0.10158013544018053,3.98,4817,3.98,4817,-0.050000000000000266,-0.0124,3.98,4.04,3.91,3.98,4.04,3.91
2015-01-27,4.0,4.05,4.0,4.0,CZR,2939,-0.09706546275395028,-0.09706546275395028,4.0,2939,4.0,2939,0.020000000000000018,0.005,4.0,4.05,4.0,4.0,4.05,4.0
2015-01-28,4.02,4.04,4.02,4.04,CZR,400,-0.09255079006772013,-0.09255079006772013,4.02,400,4.02,400,0.019999999999999574,0.005,4.04,4.04,4.02,4.04,4.04,4.02
2015-01-29,3.97,3.97,3.89,3.96,CZR,4700,-0.10383747178329561,-0.10383747178329561,3.97,4700,3.97,4700,-0.04999999999999938,-0.0124,3.96,3.97,3.89,3.96,3.97,3.89
2015-01-30,3.96,4.09,3.96,3.97,CZR,2675,-0.10609480812641078,-0.10609480812641078,3.96,2675,3.96,2675,-0.010000000000000231,-0.0025,3.97,4.09,3.96,3.97,4.09,3.96
2015-02-02,3.91,3.95,3.9,3.93,CZR,6149,-0.11738148984198636,-0.11738148984198636,3.91,6149,3.91,6149,-0.04999999999999982,-0.0126,3.93,3.95,3.9,3.93,3.95,3.9
2015-02-03,3.89,4.03,3.89,4.03,CZR,1669,-0.12189616252821663,-0.12189616252821663,3.89,1669,3.89,1669,-0.020000000000000018,-0.0051,4.03,4.03,3.89,4.03,4.03,3.89
2015-02-04,3.89,3.93,3.89,3.92,CZR,2647,-0.12189616252821663,-0.12189616252821663,3.89,2647,3.89,2647,0.0,0.0,3.92,3.93,3.89,3.92,3.93,3.89
2015-02-05,4.15,4.15,3.92,3.93,CZR,17737,-0.06320541760722334,-0.06320541760722334,4.15,17737,4.15,17737,0.26000000000000023,0.0668,3.93,4.15,3.92,3.93,4.15,3.92
2015-02-06,4.12,4.2,4.1,4.2,CZR,31333,-0.06997742663656877,-0.06997742663656877,4.12,31333,4.12,31333,-0.03000000000000025,-0.0072,4.2,4.2,4.1,4.2,4.2,4.1
2015-02-09,4.18,4.18,4.11,4.15,CZR,3855,-0.05643340857787811,-0.05643340857787811,4.18,3855,4.18,3855,0.05999999999999961,0.0146,4.15,4.18,4.11,4.15,4.18,4.11
2015-02-10,4.16,4.24,4.05,4.19,CZR,130055,-0.06094808126410826,-0.06094808126410826,4.16,130055,4.16,130055,-0.019999999999999574,-0.0048,4.19,4.24,4.05,4.19,4.24,4.05
2015-02-11,4.16,4.21,4.13,4.16,CZR,36729,-0.06094808126410826,-0.06094808126410826,4.16,36729,4.16,36729,0.0,0.0,4.16,4.21,4.13,4.16,4.21,4.13
2015-02-12,4.19,4.25,4.12,4.21,CZR,49442,-0.05417607223476283,-0.05417607223476283,4.19,49442,4.19,49442,0.03000000000000025,0.0072,4.21,4.25,4.12,4.21,4.25,4.12
2015-02-13,4.2,4.2,4.12,4.17,CZR,8321,-0.051918735891647756,-0.051918735891647756,4.2,8321,4.2,8321,0.009999999999999787,0.0024,4.17,4.2,4.12,4.17,4.2,4.12
2015-02-17,4.25,4.25,4.14,4.25,CZR,22946,-0.04063205417607217,-0.04063205417607217,4.25,22946,4.25,22946,0.04999999999999982,0.0119,4.25,4.25,4.14,4.25,4.25,4.14
2015-02-18,4.13,4.2,4.08,4.19,CZR,75113,-0.06772009029345369,-0.06772009029345369,4.13,75113,4.13,75113,-0.1200000000000001,-0.0282,4.19,4.2,4.08,4.19,4.2,4.08
2015-02-19,4.5,4.5,4.05,4.1,CZR,117291,0.015801354401805936,0.015801354401805936,4.5,117291,4.5,117291,0.3700000000000001,0.0896,4.1,4.5,4.05,4.1,4.5,4.05
2015-02-20,4.55,4.57,4.32,4.49,CZR,38237,0.027088036117381517,0.027088036117381517,4.55,38237,4.55,38237,0.04999999999999982,0.0111,4.49,4.57,4.32,4.49,4.57,4.32
2015-02-23,4.5,4.5,4.41,4.41,CZR,15193,0.015801354401805936,0.015801354401805936,4.5,15193,4.5,15193,-0.04999999999999982,-0.011,4.41,4.5,4.41,4.41,4.5,4.41
2015-02-24,4.65,4.65,4.4,4.5,CZR,10956,0.04966139954853288,0.04966139954853288,4.65,10956,4.65,10956,0.15000000000000036,0.0333,4.5,4.65,4.4,4.5,4.65,4.4
2015-02-25,4.5,4.6,4.36,4.51,CZR,152305,0.015801354401805936,0.015801354401805936,4.5,152305,4.5,152305,-0.15000000000000036,-0.0323,4.51,4.6,4.36,4.51,4.6,4.36
2015-02-26,4.55,4.61,4.39,4.5,CZR,71255,0.027088036117381517,0.027088036117381517,4.55,71255,4.55,71255,0.04999999999999982,0.0111,4.5,4.61,4.39,4.5,4.61,4.39
2015-02-27,4.6,4.65,4.52,4.6,CZR,70585,0.038374717832957095,0.038374717832957095,4.6,70585,4.6,70585,0.04999999999999982,0.011,4.6,4.65,4.52,4.6,4.65,4.52
2015-03-02,4.51,4.65,4.45,4.62,CZR,85179,0.01805869074492101,0.01805869074492101,4.51,85179,4.51,85179,-0.08999999999999986,-0.0196,4.62,4.65,4.45,4.62,4.65,4.45
2015-03-03,4.66,4.8,4.55,4.55,CZR,137656,0.05191873589164796,0.05191873589164796,4.66,137656,4.66,137656,0.15000000000000036,0.0333,4.55,4.8,4.55,4.55,4.8,4.55
2015-03-04,4.78,4.88,4.61,4.68,CZR,138106,0.07900677200902947,0.07900677200902947,4.78,138106,4.78,138106,0.1200000000000001,0.0258,4.68,4.88,4.61,4.68,4.88,4.61
2015-03-05,4.99,5.17,4.6,4.77,CZR,107246,0.12641083521444707,0.12641083521444707,4.99,107246,4.99,107246,0.20999999999999996,0.0439,4.77,5.17,4.6,4.77,5.17,4.6
2015-03-06,5.0,5.1,4.95,4.96,CZR,65577,0.12866817155756216,0.12866817155756216,5.0,65577,5.0,65577,0.009999999999999787,0.002,4.96,5.1,4.95,4.96,5.1,4.95
2015-03-09,5.14,5.14,4.99,5.0,CZR,116541,0.16027088036117382,0.16027088036117382,5.14,116541,5.14,116541,0.13999999999999968,0.028,5.0,5.14,4.99,5.0,5.14,4.99
2015-03-10,5.55,5.68,5.08,5.1,CZR,169895,0.2528216704288939,0.2528216704288939,5.55,169895,5.55,169895,0.41000000000000014,0.0798,5.1,5.68,5.08,5.1,5.68,5.08
2015-03-11,5.43,5.64,5.36,5.56,CZR,165703,0.22573363431151244,0.22573363431151244,5.43,165703,5.43,165703,-0.1200000000000001,-0.0216,5.56,5.64,5.36,5.56,5.64,5.36
2015-03-12,5.36,5.47,5.1,5.47,CZR,147462,0.2099322799097067,0.2099322799097067,5.36,147462,5.36,147462,-0.0699999999999994,-0.0129,5.47,5.47,5.1,5.47,5.47,5.1
2015-03-13,5.11,5.36,4.88,5.36,CZR,102450,0.1534988713318286,0.1534988713318286,5.11,102450,5.11,102450,-0.25,-0.0466,5.36,5.36,4.88,5.36,5.36,4.88
2015-03-16,5.0,5.14,4.88,5.13,CZR,105598,0.12866817155756216,0.12866817155756216,5.0,105598,5.0,105598,-0.11000000000000032,-0.0215,5.13,5.14,4.88,5.13,5.14,4.88
2015-03-17,5.08,5.22,4.83,4.93,CZR,571936,0.14672686230248316,0.14672686230248316,5.08,571936,5.08,571936,0.08000000000000007,0.016,4.93,5.22,4.83,4.93,5.22,4.83
2015-03-18,4.73,5.1,4.53,5.02,CZR,86814,0.06772009029345388,0.06772009029345388,4.73,86814,4.73,86814,-0.34999999999999964,-0.0689,5.02,5.1,4.53,5.02,5.1,4.53
2015-03-19,4.61,4.95,4.56,4.82,CZR,80649,0.04063205417607237,0.04063205417607237,4.61,80649,4.61,80649,-0.1200000000000001,-0.0254,4.82,4.95,4.56,4.82,4.95,4.56
2015-03-20,4.83,4.86,4.57,4.57,CZR,112594,0.09029345372460505,0.09029345372460505,4.83,112594,4.83,112594,0.21999999999999975,0.0477,4.57,4.86,4.57,4.57,4.86,4.57
2015-03-23,4.92,5.01,4.69,4.81,CZR,55703,0.11060948081264114,0.11060948081264114,4.92,55703,4.92,55703,0.08999999999999986,0.0186,4.81,5.01,4.69,4.81,5.01,4.69
2015-03-24,5.02,5.34,4.93,4.93,CZR,176677,0.13318284424379231,0.13318284424379231,5.02,176677,5.02,176677,0.09999999999999964,0.0203,4.93,5.34,4.93,4.93,5.34,4.93
2015-03-25,4.95,5.1,4.85,4.97,CZR,67036,0.11738148984198657,0.11738148984198657,4.95,67036,4.95,67036,-0.0699999999999994,-0.0139,4.97,5.1,4.85,4.97,5.1,4.85
2015-03-26,5.04,5.09,4.88,4.88,CZR,55850,0.13769751693002266,0.13769751693002266,5.04,55850,5.04,55850,0.08999999999999986,0.0182,4.88,5.09,4.88,4.88,5.09,4.88
2015-03-27,5.12,5.12,4.99,5.0,CZR,19245,0.15575620767494366,0.15575620767494366,5.12,19245,5.12,19245,0.08000000000000007,0.0159,5.0,5.12,4.99,5.0,5.12,4.99
2015-03-30,5.04,5.12,4.99,5.12,CZR,46538,0.13769751693002266,0.13769751693002266,5.04,46538,5.04,46538,-0.08000000000000007,-0.0156,5.12,5.12,4.99,5.12,5.12,4.99
2015-03-31,5.03,5.06,4.99,5.0,CZR,17750,0.13544018058690757,0.13544018058690757,5.03,17750,5.03,17750,-0.009999999999999787,-0.002,5.0,5.06,4.99,5.0,5.06,4.99
2015-04-01,5.12,5.15,5.0,5.0,CZR,283430,0.15575620767494366,0.15575620767494366,5.12,283430,5.12,283430,0.08999999999999986,0.0179,5.0,5.15,5.0,5.0,5.15,5.0
2015-04-02,5.25,5.66,5.05,5.11,CZR,576761,0.18510158013544026,0.18510158013544026,5.25,576761,5.25,576761,0.1299999999999999,0.0254,5.11,5.66,5.05,5.11,5.66,5.05
