date,close,high,low,open,symbol,volume,changeOverTime,marketChangeOverTime,uClose,uVolume,fClose,fVolume,change,changePercent,uOpen,uHigh,uLow,fOpen,fHigh,fLow
2014-09-18,4.43,0.0,0.0,0.0,CZR,10878,0.0,0.0,4.43,10878,4.43,10878,0.0,0.0,,,,,,
2014-09-22,4.45,4.75,4.11,4.75,CZR,5129,0.004514672686230353,0.004514672686230353,4.45,5129,4.45,5129,0.020000000000000462,0.0045,4.75,4.75,4.11,4.75,4.75,4.11
2014-09-23,4.26,4.45,3.9,4.45,CZR,81702,-0.038374717832957095,-0.038374717832957095,4.26,81702,4.26,81702,-0.1900000000000004,-0.0427,4.45,4.45,3.9,4.45,4.45,3.9
2014-09-24,4.34,4.34,3.61,3.7,CZR,94422,-0.020316027088036086,-0.020316027088036086,4.34,94422,4.34,94422,0.08000000000000007,0.0188,3.7,4.34,3.61,3.7,4.34,3.61
2014-09-25,4.0,4.44,3.8,4.35,CZR,29760,-0.09706546275395028,-0.09706546275395028,4.0,29760,4.0,29760,-0.33999999999999986,-0.0783,4.35,4.44,3.8,4.35,4.44,3.8
2014-09-26,4.4,4.4,4.0,4.0,CZR,161486,-0.006772009029345228,-0.006772009029345228,4.4,161486,4.4,161486,0.40000000000000036,0.1,4.0,4.4,4.0,4.0,4.4,4.0
2014-09-29,4.23,4.39,4.0,4.39,CZR,138666,-0.045146726862302325,-0.045146726862302325,4.23,138666,4.23,138666,-0.16999999999999993,-0.0386,4.39,4.39,4.0,4.39,4.39,4.0
2014-09-30,4.21,4.25,4.0,4.14,CZR,26059,-0.04966139954853268,-0.04966139954853268,4.21,26059,4.21,26059,-0.020000000000000462,-0.0047,4.14,4.25,4.0,4.14,4.25,4.0
2014-10-01,4.1,4.21,4.03,4.21,CZR,105903,-0.07449209932279911,-0.07449209932279911,4.1,105903,4.1,105903,-0.11000000000000032,-0.0261,4.21,4.21,4.03,4.21,4.21,4.03
2014-10-02,4.27,4.27,3.74,4.08,CZR,32502,-0.03611738148984202,-0.03611738148984202,4.27,32502,4.27,32502,0.16999999999999993,0.0415,4.08,4.27,3.74,4.08,4.27,3.74
2014-10-03,4.15,4.29,3.91,4.0,CZR,38348,-0.06320541760722334,-0.06320541760722334,4.15,38348,4.15,38348,-0.11999999999999922,-0.0281,4.0,4.29,3.91,4.0,4.29,3.91
2014-10-06,4.13,4.16,3.77,3.9,CZR,14260,-0.06772009029345369,-0.06772009029345369,4.13,14260,4.13,14260,-0.020000000000000462,-0.0048,3.9,4.16,3.77,3.9,4.16,3.77
2014-10-07,4.0,4.05,3.94,3.95,CZR,15162,-0.09706546275395028,-0.09706546275395028,4.0,15162,4.0,15162,-0.1299999999999999,-0.0315,3.95,4.05,3.94,3.95,4.05,3.94
2014-10-08,4.25,4.26,3.95,4.22,CZR,94120,-0.04063205417607217,-0.04063205417607217,4.25,94120,4.25,94120,0.25,0.0625,4.22,4.26,3.95,4.22,4.26,3.95
2014-10-09,4.1,4.11,4.02,4.06,CZR,5416,-0.07449209932279911,-0.07449209932279911,4.1,5416,4.1,5416,-0.15000000000000036,-0.0353,4.06,4.11,4.02,4.06,4.11,4.02
2014-10-10,4.0,4.06,3.95,3.99,CZR,12245,-0.09706546275395028,-0.09706546275395028,4.0,12245,4.0,12245,-0.09999999999999964,-0.0244,3.99,4.06,3.95,3.99,4.06,3.95
2014-10-13,3.98,4.0,3.9,4.0,CZR,16086,-0.10158013544018053,-0.10158013544018053,3.98,16086,3.98,16086,-0.020000000000000018,-0.005,4.0,4.0,3.9,4.0,4.0,3.9
2014-10-14,4.0,4.02,3.78,4.0,CZR,33372,-0.09706546275395028,-0.09706546275395028,4.0,33372,4.0,33372,0.020000000000000018,0.005,4.0,4.02,3.78,4.0,4.02,3.78
2014-10-15,4.0,4.05,3.75,3.75,CZR,88170,-0.09706546275395028,-0.09706546275395028,4.0,88170,4.0,88170,0.0,0.0,3.75,4.05,3.75,3.75,4.05,3.75
2014-10-16,3.96,4.03,3.86,3.86,CZR,7600,-0.10609480812641078,-0.10609480812641078,3.96,7600,3.96,7600,-0.040000000000000036,-0.01,3.86,4.03,3.86,3.86,4.03,3.86
2014-10-17,4.0,4.05,3.94,4.04,CZR,11790,-0.09706546275395028,-0.09706546275395028,4.0,11790,4.0,11790,0.040000000000000036,0.0101,4.04,4.05,3.94,4.04,4.05,3.94
2014-10-20,4.04,4.08,3.91,3.97,CZR,8489,-0.08803611738148978,-0.08803611738148978,4.04,8489,4.04,8489,0.040000000000000036,0.01,3.97,4.08,3.91,3.97,4.08,3.91
2014-10-21,4.01,4.08,3.92,3.92,CZR,187361,-0.0948081264108352,-0.0948081264108352,4.01,187361,4.01,187361,-0.03000000000000025,-0.0074,3.92,4.08,3.92,3.92,4.08,3.92
