Date,Symbol,Split_Adjusted_Open,Split_Adjusted_High,Split_Adjusted_Low,Split_Adjusted_Close,Split_Adjusted_Volume
2006-12-29,EXPE,9.9753,10.0513,9.9279,9.9611,1743965.008849556
2007-01-03,EXPE,41.92,42.52,41.32,42.1,3412363.0
2007-01-04,EXPE,42.0,42.68,41.94,42.54,2587464.0
2007-01-05,EXPE,42.6,42.7,42.16,42.52,2757131.0
2007-01-08,EXPE,42.38,42.84,42.24,42.74,3046668.0
2007-01-09,EXPE,42.76,42.92,42.5,42.84,5323852.0
2007-01-10,EXPE,42.68,43.42,42.6,42.96,5730734.0
2007-01-11,EXPE,43.1,43.4,42.42,42.68,5184370.0
2007-01-12,EXPE,42.4,43.0,41.7,42.82,2777482.0
2007-01-16,EXPE,42.96,42.96,42.36,42.48,1662336.0
2007-01-17,EXPE,42.14,42.66,41.94,42.32,2647257.0
2007-01-18,EXPE,42.2,42.86,40.94,41.3,2287974.0
2007-01-19,EXPE,41.3,42.14,40.78,42.04,2903082.0
2007-01-22,EXPE,41.9,42.6,40.84,41.16,3224500.0
2007-01-23,EXPE,41.16,41.94,41.06,41.4,3185845.0
2007-01-24,EXPE,41.42,42.42,41.4,42.06,1587215.0
2007-01-25,EXPE,41.76,42.4,40.84,41.3,1692905.0
2007-01-26,EXPE,41.22,41.56,40.96,41.24,959650.0
2007-01-29,EXPE,40.62,41.88,40.38,41.72,2129705.0
2007-01-30,EXPE,41.9,42.6,41.44,42.12,3980853.0
2007-01-31,EXPE,42.24,43.28,41.36,42.9,1833265.0
2007-02-01,EXPE,42.84,43.3,41.26,41.36,2364712.0
2007-02-02,EXPE,41.32,42.38,41.32,42.12,1618209.0
2007-02-05,EXPE,42.2,42.76,41.48,42.4,1800236.0
2007-02-06,EXPE,42.38,42.9,41.78,42.88,2147995.0
2007-02-07,EXPE,42.9,43.84,42.56,43.52,2819143.0
2007-02-08,EXPE,43.54,44.3,43.28,44.22,1639859.0
2007-02-09,EXPE,44.12,44.38,42.7,43.28,1796833.0
2007-02-12,EXPE,43.02,43.26,42.4,42.94,1576337.0
2007-02-13,EXPE,43.06,43.8,42.96,43.3,1325503.0
2007-02-14,EXPE,43.36,44.98,43.28,44.54,2410262.0
2007-02-15,EXPE,45.02,46.2,44.0,44.6,2535993.0
2007-02-16,EXPE,44.28,44.34,43.52,43.66,2259976.0
2007-02-20,EXPE,43.44,44.76,42.66,44.44,1589384.0
2007-02-21,EXPE,44.5,44.94,44.22,44.7,1328379.0
2007-02-22,EXPE,44.68,44.94,43.78,44.28,1253255.0
2007-02-23,EXPE,44.2,44.24,43.16,43.4,1562641.0
2007-02-26,EXPE,43.58,43.96,42.96,43.42,2111327.0
2007-02-27,EXPE,42.86,43.84,42.08,42.76,2793964.0
2007-02-28,EXPE,42.0,43.02,41.34,42.52,3747812.0
2007-03-01,EXPE,41.6,42.2,41.4,41.76,2343322.0
2007-03-02,EXPE,41.54,41.66,40.78,41.0,2628491.0
2007-03-05,EXPE,40.82,41.42,40.52,40.82,2159498.0
2007-03-06,EXPE,40.5,40.94,39.94,40.86,2219143.0
2007-03-07,EXPE,40.7,41.2,39.94,40.74,1390881.0
2007-03-08,EXPE,40.84,41.2,40.28,41.1,2010733.0
2007-03-09,EXPE,41.24,41.46,40.5,40.9,1228854.0
2007-03-12,EXPE,40.9,41.56,40.82,41.48,1309192.0
2007-03-13,EXPE,42.04,43.26,42.0,42.52,3138654.0
2007-03-14,EXPE,42.48,42.84,41.44,42.14,2297558.0
2007-03-15,EXPE,42.04,43.26,41.82,42.64,1803050.0
2007-03-16,EXPE,42.46,42.9,41.58,42.22,2416649.0
2007-03-19,EXPE,42.38,43.48,41.9,43.42,1954828.0
2007-03-20,EXPE,43.46,44.54,43.28,44.0,3057108.0
2007-03-21,EXPE,44.14,45.16,43.92,45.16,1565126.0
2007-03-22,EXPE,45.0,46.12,44.58,45.96,3286376.0
2007-03-23,EXPE,46.08,46.52,45.8,46.3,2533913.0
2007-03-26,EXPE,46.46,46.68,45.48,46.36,2146661.0
2007-03-27,EXPE,46.38,46.4,45.76,46.22,1959269.0
2007-03-28,EXPE,45.84,45.94,44.94,44.96,2019379.0
2007-03-29,EXPE,44.96,46.08,44.92,46.0,2367328.0
2007-03-30,EXPE,46.0,46.6,45.56,46.36,1897995.0
2007-04-02,EXPE,46.26,46.58,45.42,45.7,1857898.0
2007-04-03,EXPE,45.86,46.94,45.72,46.36,1625940.0
2007-04-04,EXPE,46.82,46.96,46.16,46.66,1799733.0
2007-04-05,EXPE,46.66,48.04,46.36,47.36,1884768.0
2007-04-09,EXPE,48.04,47.94,47.06,47.62,2012376.0
2007-04-10,EXPE,47.72,48.2,47.64,48.04,1486165.0
2007-04-11,EXPE,47.84,48.18,46.5,46.94,2074277.0
2007-04-12,EXPE,46.94,48.28,47.06,47.66,3156081.0
2007-04-13,EXPE,47.58,48.56,47.56,48.22,1491273.0
2007-04-16,EXPE,48.48,48.72,47.7,47.8,3253361.0
2007-04-17,EXPE,47.8,48.42,47.3,48.4,3414885.0
2007-04-18,EXPE,48.4,48.38,47.0,47.28,1963056.0
2007-04-19,EXPE,47.0,47.0,46.44,46.7,1751942.0
2007-04-20,EXPE,46.7,47.38,46.2,46.4,3487255.0
2007-04-23,EXPE,46.7,47.02,46.12,46.38,1935800.0
2007-04-24,EXPE,46.26,47.32,46.1,47.0,1508149.0
2007-04-25,EXPE,46.82,47.9,46.64,47.48,1849502.0
2007-04-26,EXPE,46.86,48.0,46.84,47.86,1795615.0
2007-04-27,EXPE,47.7,47.92,47.18,47.62,1449463.0
2007-04-30,EXPE,47.4,47.8,47.14,47.24,1806222.0
2007-05-01,EXPE,47.16,48.38,47.02,48.04,2740083.0
2007-05-02,EXPE,47.98,48.84,47.9,48.7,2713517.0
2007-05-03,EXPE,48.84,48.96,48.06,48.7,2274789.0
2007-05-04,EXPE,48.7,50.32,48.62,48.96,2606372.0
2007-05-07,EXPE,49.32,49.86,49.08,49.62,2364829.0
2007-05-08,EXPE,49.02,49.0,44.88,48.4,7091730.0
2007-05-09,EXPE,48.1,49.7,47.78,49.34,2678152.0
2007-05-10,EXPE,49.0,49.54,48.16,48.7,2357624.0
2007-05-11,EXPE,48.7,49.7,48.04,49.52,1640701.0
2007-05-14,EXPE,49.38,49.74,48.74,49.16,1827985.0
2007-05-15,EXPE,49.16,49.54,48.28,48.36,1889213.0
2007-05-16,EXPE,48.72,49.4,48.06,48.92,1999728.0
2007-05-17,EXPE,48.74,49.06,47.98,48.7,2665346.0
2007-05-18,EXPE,48.7,49.96,48.92,49.28,3295809.0
2007-05-21,EXPE,49.28,50.6,49.4,50.52,2522636.0
2007-05-22,EXPE,50.52,51.12,49.98,50.42,1662964.0
2007-05-23,EXPE,50.42,51.64,50.32,50.48,1694242.0
2007-05-24,EXPE,50.48,50.7,49.1,49.4,1906469.0
2007-05-25,EXPE,49.64,49.64,48.74,48.9,1919268.0
2007-05-29,EXPE,48.0,48.52,47.54,48.38,2443122.0
2007-05-30,EXPE,48.38,48.3,47.4,47.76,2339769.0
2007-05-31,EXPE,47.6,48.38,47.6,48.06,1797376.0
2007-06-01,EXPE,48.26,48.8,47.92,48.46,1891292.0
2007-06-04,EXPE,48.46,49.28,48.1,48.92,1698823.0
2007-06-05,EXPE,48.76,49.12,47.78,48.76,1737752.0
2007-06-06,EXPE,48.76,48.76,48.24,48.32,2012718.0
2007-06-07,EXPE,47.66,48.04,46.6,47.04,2501306.0
2007-06-08,EXPE,46.44,46.96,46.06,46.76,2307342.0
2007-06-11,EXPE,46.64,48.46,46.64,48.06,3214324.0
2007-06-12,EXPE,48.06,48.52,47.7,48.4,2323444.0
2007-06-13,EXPE,48.44,48.6,47.44,48.48,1710581.0
2007-06-14,EXPE,48.84,49.46,48.5,48.92,2432782.0
2007-06-15,EXPE,51.2,53.42,50.1,50.74,8263012.0
2007-06-18,EXPE,50.9,51.32,50.22,51.0,1902438.0
2007-06-19,EXPE,58.0,59.7,58.18,58.28,14884064.0
2007-06-20,EXPE,58.82,58.8,58.2,58.42,6367036.0
2007-06-21,EXPE,58.42,58.9,57.8,58.2,4326604.0
2007-06-22,EXPE,58.2,58.36,57.88,58.0,2726227.0
2007-06-25,EXPE,58.16,58.9,57.84,58.44,2595439.0
2007-06-26,EXPE,58.44,58.92,58.3,58.48,2514324.0
2007-06-27,EXPE,58.48,59.0,58.14,58.92,4012586.0
2007-06-28,EXPE,58.92,59.18,58.49,58.98,2530430.0
2007-06-29,EXPE,58.9,58.9,58.4,58.58,2351082.0
2007-07-02,EXPE,58.7,58.92,58.2,58.32,3456350.0
2007-07-03,EXPE,58.17,58.42,58.0,58.06,1628413.0
2007-07-05,EXPE,58.04,58.52,57.9,58.26,2950487.0
2007-07-06,EXPE,58.28,59.0,58.28,58.78,1494812.0
2007-07-09,EXPE,58.78,58.82,58.44,58.5,2051380.0
2007-07-10,EXPE,58.5,58.82,58.42,58.6,2176635.0
2007-07-11,EXPE,58.44,58.72,58.3,58.68,3059930.0
2007-07-12,EXPE,58.74,59.18,58.76,59.18,3174286.0
2007-07-13,EXPE,59.0,59.32,58.92,59.28,1965849.0
2007-07-16,EXPE,58.76,59.26,58.92,59.0,1947945.0
2007-07-17,EXPE,59.06,59.32,58.76,59.2,1929285.0
2007-07-18,EXPE,59.34,59.44,58.68,59.08,1494525.0
2007-07-19,EXPE,59.08,59.16,58.76,58.82,2544767.0
2007-07-20,EXPE,58.82,59.18,58.3,58.78,4312691.0
2007-07-23,EXPE,58.36,54.7,52.96,53.42,7597158.0
2007-07-24,EXPE,53.24,53.72,50.9,51.5,8342165.0
2007-07-25,EXPE,51.5,52.64,51.06,52.26,4984761.0
2007-07-26,EXPE,53.02,52.98,51.74,52.74,9117117.0
2007-07-27,EXPE,52.74,53.26,52.3,52.88,2497956.0
2007-07-30,EXPE,52.52,54.18,53.02,53.58,3004165.0
2007-07-31,EXPE,53.58,54.44,53.14,53.22,4001513.0
2007-08-01,EXPE,52.96,54.08,52.48,53.54,3395646.0
2007-08-02,EXPE,54.86,55.56,54.18,54.88,5334824.0
2007-08-03,EXPE,55.34,56.32,54.78,55.36,9795024.0
2007-08-06,EXPE,55.6,55.76,54.14,55.16,3608510.0
2007-08-07,EXPE,54.78,55.9,54.7,55.7,6473969.0
2007-08-08,EXPE,55.9,58.0,54.76,55.58,10353486.0
2007-08-09,EXPE,56.58,58.98,55.98,57.0,6194539.0
2007-08-10,EXPE,57.0,57.76,56.52,57.06,2819942.0
2007-08-13,EXPE,55.6,58.16,57.2,57.84,2398036.0
2007-08-14,EXPE,57.28,58.12,57.1,57.34,1635614.0
2007-08-15,EXPE,57.12,57.9,56.48,56.78,4128049.0
